song_id,sheet,artist,title,duration_sec,key,tempo_bpm,release_date,has_chords,n_sections,release_year,total_measures,borrowed_ratio,unmatched_ratio,rest_ratio,chord_change_rate,key_mismatch_suspect,mode_major,mode_minor,gen_3.5세대,gen_3세대,gen_4세대,grp_걸그룹,grp_보이그룹,duration_sec_scaled,tempo_bpm_scaled,n_sections_scaled,total_measures_scaled,borrowed_ratio_scaled,unmatched_ratio_scaled,rest_ratio_scaled,chord_change_rate_scaled
3세대 걸그룹::0056,3세대 걸그룹,트와이스,What is Love?,208.0,Ab,170.0,2018-04-09,True,7,2018,56.0,0.10714285714285714,0.0,0.0,0.5636363636363636,False,True,False,False,True,False,True,False,0.644924714069837,2.4457727327988055,0.1980397037391327,0.3809112922957677,-0.08438297378382392,-0.3927941357821456,-0.17569083961954554,-0.5699609205252509
3세대 걸그룹::0041,3세대 걸그룹,여자친구,밤,226.0,Ebm,170.0,2018-04-30,True,14,2018,110.0,0.18181818181818182,0.11818181818181818,0.0,0.8899082568807339,False,False,True,False,True,False,True,False,1.4733104139632216,2.4457727327988055,4.839970335321534,4.794304847885762,0.5329346854634808,1.5545282088856494,-0.17569083961954554,0.7864626987159863
3세대 걸그룹::0125,3세대 걸그룹,AOA,빙글뱅글,217.0,G,112.0,2018-05-28,True,7,2018,52.0,0.0,0.0,0.0,0.8823529411764706,False,True,False,False,True,False,True,False,1.0591175640165293,-0.4068127894045692,0.1980397037391327,0.05399325114095331,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,0.7550526726479075
3세대 걸그룹::0016,3세대 걸그룹,BLACKPINK,뚜두뚜두,209.0,Em,140.0,2018-06-15,True,8,2018,64.0,0.0,0.0,0.0,0.30158730158730157,False,False,True,False,True,False,True,False,0.6909461418416917,0.9702974626936116,0.8611726511080472,1.0347473746053963,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,-1.6593883107575336
3세대 걸그룹::0017,3세대 걸그룹,BLACKPINK,Forever Young,237.0,E,110.0,2018-06-15,True,6,2018,48.0,0.0,0.0,0.0,0.6170212765957447,False,True,False,False,True,False,True,False,1.9795461194536235,-0.5051778074115821,-0.46509324362978177,-0.27292479001386105,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,-0.3480216166851659
3세대 걸그룹::0152,3세대 걸그룹,에이핑크,1도 없어,199.0,F#m,124.0,2018-07-02,True,6,2018,48.0,0.10416666666666667,0.020833333333333332,0.0,0.8723404255319149,False,False,True,False,True,False,True,False,0.23073186412314467,0.1833773186375083,-0.46509324362978177,-0.27292479001386105,-0.10898621382628888,-0.04951615835673303,-0.17569083961954554,0.7134272277674144
3세대 걸그룹::0057,3세대 걸그룹,트와이스,Dance The Night Away,181.0,F,118.0,2018-07-09,True,6,2018,48.0,0.0,0.0,0.0,1.0,False,True,False,False,True,False,True,False,-0.59765383577024,-0.11171773538353046,-0.46509324362978177,-0.27292479001386105,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,1.2441516499937044
3세대 걸그룹::0113,3세대 걸그룹,마마무,너나 해,196.0,Ebm,98.0,2018-07-16,True,7,2018,56.0,0.0,0.0,0.0,0.5818181818181818,False,False,True,False,True,False,True,False,0.09266758080758057,-1.0953679154536597,0.1980397037391327,0.3809112922957677,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,-0.49437289675362783
3세대 걸그룹::0137,3세대 걸그룹,청하,Love U,191.0,G#m,120.0,2018-07-18,True,8,2018,64.0,0.0625,0.015625,0.0,0.6507936507936508,False,False,True,False,True,False,True,False,-0.13743955805169294,-0.013352717376517543,0.8611726511080472,1.0347473746053963,-0.45343157442079945,-0.13533565271308617,-0.17569083961954554,-0.20761833038191446
3세대 걸그룹::0042,3세대 걸그룹,여자친구,여름여름해,198.0,G,130.0,2018-07-19,True,6,2018,48.0,0.0625,0.0,0.0,0.8936170212765957,False,True,False,False,True,False,True,False,0.18471043635128997,0.47847237265854703,-0.46509324362978177,-0.27292479001386105,-0.45343157442079945,-0.3927941357821456,-0.17569083961954554,0.8018812981384624
3세대 걸그룹::0082,3세대 걸그룹,레드벨벳,Power Up,202.0,Eb,160.0,2018-08-06,True,6,2018,48.0,0.125,0.0,0.0,0.48936170212765956,False,True,False,False,True,False,True,False,0.3687961474387088,1.9539476427637408,-0.46509324362978177,-0.27292479001386105,0.06323646647096635,-0.3927941357821456,-0.17569083961954554,-0.8787460389114561
3세대 걸그룹::0027,3세대 걸그룹,오마이걸,불꽃놀이,196.0,G,131.0,2018-09-10,True,7,2018,48.0,0.0,0.0,0.0,0.5531914893617021,False,True,False,False,True,False,True,False,0.09266758080758057,0.5276548816620535,0.1980397037391327,-0.27292479001386105,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,-0.6133838277983109
3세대 걸그룹::0145,3세대 걸그룹,에이프릴,예쁜 게 죄,206.0,Gm,145.0,2018-10-16,True,6,2018,48.0,0.125,0.0,0.0,0.44680851063829785,False,False,True,False,True,False,True,False,0.5528818585261276,1.216210007711144,-0.46509324362978177,-0.27292479001386105,0.06323646647096635,-0.3927941357821456,-0.17569083961954554,-1.0556541796535528
3.5세대::0075,3.5세대,IZ*ONE,라비앙로즈,218.0,Dm,116.0,2018-10-29,True,7,2018,56.0,0.0,0.4107142857142857,0.0,0.8909090909090909,True,False,True,True,False,False,False,False,1.105138991788384,-0.2100827533905434,0.1980397037391327,0.3809112922957677,-0.9700996153125653,6.37468599060456,-0.17569083961954554,0.7906235073639655
3세대 걸그룹::0058,3세대 걸그룹,트와이스,YES or YES,239.0,Gb,138.0,2018-11-05,True,9,2018,64.0,0.140625,0.0,0.0,0.6984126984126984,False,True,False,False,True,False,True,False,2.071588974997333,0.8719324446865987,1.5243055984769618,1.0347473746053963,0.19240347669390778,-0.3927941357821456,-0.17569083961954554,-0.009649696694330308
3세대 걸그룹::0001,3세대 걸그룹,JENNIE,SOLO,169.0,Gb,95.0,2018-11-12,True,5,2018,39.0,0.07692307692307693,0.0,0.0,0.7105263157894737,False,True,False,False,True,False,True,False,-1.1499109690324965,-1.242915442464179,-1.1282261909986961,-1.0084903826121934,-0.33420048806116115,-0.3927941357821456,-0.17569083961954554,0.040710745208651804
